# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.loading.total.ms,1788582552770000000,1788582612887000000,357
workspaceModel.non.incremental.contributors.file.sets.computation.time.ms,1788582552770000000,1788582612887000000,152
workspaceModel.updates.precise.ms,1788582552770000000,1788582612887000000,42
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1788582552770000000,1788582612887000000,511
workspaceModel.workspaceFileIndexData.processFileSets.ms,1788582552770000000,1788582612887000000,0
workspaceModel.loading.from.cache.ms,1788582552770000000,1788582612887000000,350
workspaceModel.update.unloaded.entities.ms,1788582552770000000,1788582612887000000,0
workspaceModel.collect.changes.ms,1788582552770000000,1788582612887000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1788582552770000000,1788582612887000000,6
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1788582552770000000,1788582612887000000,0
workspaceModel.non.incremental.contributors.total.update.time.ms,1788582552770000000,1788582612887000000,166
workspaceModel.full.replace.project.model.ms,1788582552770000000,1788582612887000000,109
workspaceModel.workspaceFileIndexData.init.ms,1788582552770000000,1788582612887000000,259
workspaceModel.updates.ms,1788582552770000000,1788582612887000000,297
workspaceModel.initializing.ms,1788582552770000000,1788582612887000000,121
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1788582552770000000,1788582612887000000,566
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1788582552770000000,1788582612887000000,5
workspaceModel.non.incremental.contributors.exclude.roots.computation.time.ms,1788582552770000000,1788582612887000000,14
workspaceModel.replace.project.model.ms,1788582552770000000,1788582612887000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1788582552770000000,1788582612887000000,437
workspaceModel.on.changed.ms,1788582552770000000,1788582612887000000,118
workspaceModel.cachedValue.calculated.count,1788582552770000000,1788582612887000000,352
workspaceModel.cachedValueWithParameters.calculated.count,1788582552770000000,1788582612887000000,2
workspaceModel.cachedValue.from.cache.count,1788582552770000000,1788582612887000000,4011
workspaceModel.cachedValueWithParameters.total.get.count,1788582552770000000,1788582612887000000,8
workspaceModel.updates.count,1788582552770000000,1788582612887000000,5
workspaceModel.workspaceFileIndexData.getPackageName.ms,1788582552770000000,1788582612887000000,21
workspaceModel.entityStorageSnapshotImpl.instances.count,1788582552770000000,1788582612887000000,25
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1788582552770000000,1788582612887000000,0
workspaceModel.workspaceFileIndexData.instances.count,1788582552770000000,1788582612887000000,1
workspaceModel.check.recursive.update.ms,1788582552770000000,1788582612887000000,0
workspaceModel.cachedValue.total.get.count,1788582552770000000,1788582612887000000,4363
workspaceModel.on.before.changed.ms,1788582552770000000,1788582612887000000,109
workspaceModel.cachedValueWithParameters.clear.count,1788582552770000000,1788582612887000000,0
workspaceModel.cachedValue.clear.count,1788582552770000000,1788582612887000000,0
workspaceModel.pre.handlers.ms,1788582552770000000,1788582612887000000,4
workspaceModel.init.bridges.ms,1788582552770000000,1788582612887000000,121
DiskQueryRelay.tasksRequested,1788582612887000000,1788582672812000000,48
LowMemory.gcOverloaded,1788582612887000000,1788582672812000000,0
writeAction.max.wait.ms,1788582612887000000,1788582672812000000,212
writeAction.count,1788582612887000000,1788582672812000000,0
writeAction.median.wait.ms,1788582612887000000,1788582672812000000,100
LowMemory.gcLoad,1788582612887000000,1788582672812000000,0.0014879118550461964
DiskQueryRelay.taskWaitingTotalTimeUs,1788582612887000000,1788582672812000000,18703
writeAction.wait.ms,1788582612887000000,1788582672812000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1788582612887000000,1788582672812000000,5806
DiskQueryRelay.tasksExecuted,1788582612887000000,1788582672812000000,48
FlushQueue.queueSize90P,1788582612887000000,1788582672812000000,0
FlushQueue.waitingTimeMaxNs,1788582612887000000,1788582672812000000,0
AWTEventQueue.eventsDispatched,1788582612887000000,1788582672812000000,12
FlushQueue.executionTimeMaxNs,1788582612887000000,1788582672812000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1788582612887000000,1788582672812000000,236574
FlushQueue.waitingTimeAvgNs,1788582612887000000,1788582672812000000,0.0
FlushQueue.executionTime90PNs,1788582612887000000,1788582672812000000,0
AWTEventQueue.dispatchTimeMaxNs,1788582612887000000,1788582672812000000,142335
NonBlockingReadAction.failedExecutionTimeUs,1788582612887000000,1788582672812000000,0
NonBlockingReadAction.finalizedExecutionsCount,1788582612887000000,1788582672812000000,78
ReadAction.executionsCount,1788582612887000000,1788582672812000000,4252
WriteAction.executionsCount,1788582612887000000,1788582672812000000,0
FlushQueue.queueSizeAvg,1788582612887000000,1788582672812000000,0.0
NonBlockingReadAction.failedExecutionsCount,1788582612887000000,1788582672812000000,0
AWTEventQueue.dispatchTimeTotalNS,1788582612887000000,1788582672812000000,5462654981
FlushQueue.queueSizeMax,1788582612887000000,1788582672812000000,0
FlushQueue.tasksExecuted,1788582612887000000,1788582672812000000,0
AWTEventQueue.dispatchTime90PNs,1788582612887000000,1788582672812000000,86527
AWTEventQueue.dispatchTimeAvgNs,1788582612887000000,1788582672812000000,52548.0
FlushQueue.executionTimeAvgNs,1788582612887000000,1788582672812000000,0.0
FlushQueue.waitingTime90PNs,1788582612887000000,1788582672812000000,0
JVM.maxHeapBytes,1788582612887000000,1788582672812000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1788582612887000000,1788582672812000000,1616818176
MEM.fileMappingsRamBytes,1788582612887000000,1788582672812000000,60964864
JVM.usedNativeBytes,1788582612887000000,1788582672812000000,523833552
OS.loadAverage,1788582612887000000,1788582672812000000,2.2802734375
JVM.newThreadsCount,1788582612887000000,1788582672812000000,0
MEM.ramMinusFileMappingsBytes,1788582612887000000,1788582672812000000,615137280
JVM.totalTimeAtSafepointsMs,1788582612887000000,1788582672812000000,59
JVM.GC.collectionTimesMs,1788582612887000000,1788582672812000000,59
JVM.GC.collections,1788582612887000000,1788582672812000000,4
JVM.totalBytesAllocated,1788582612887000000,1788582672812000000,466196816
JVM.committedHeapBytes,1788582612887000000,1788582672812000000,717225984
MEM.ramBytes,1788582612887000000,1788582672812000000,676167680
JVM.usedHeapBytes,1788582612887000000,1788582672812000000,669938312
JVM.maxThreadCount,1788582612887000000,1788582672812000000,135
JVM.totalCpuTimeMs,1788582612887000000,1788582672812000000,20788
JVM.totalSafepointCount,1788582612887000000,1788582672812000000,4
JVM.totalTimeToSafepointsMs,1788582612887000000,1788582672812000000,0
JVM.threadCount,1788582612887000000,1788582672812000000,103
JVM.totalDirectByteBuffersBytes,1788582612887000000,1788582672812000000,3411976
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.commit.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1788582612887000000,1788582672812000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1788582612887000000,1788582672812000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788582612887000000,1788582672812000000,0
VFS.cache.directoriesCreated,1788582612887000000,1788582672812000000,0
VFS.cache.filesCreated,1788582612887000000,1788582672812000000,2
VFS.contentStorage.recordsStored,1788582612887000000,1788582672812000000,0
VFS.contentStorage.recordsDeduplicated,1788582612887000000,1788582672812000000,0
FileNameCache.queries,1788582612887000000,1788582672812000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788582612887000000,1788582672812000000,0
VFS.contentStorage.recordsReadSize,1788582612887000000,1788582672812000000,0
VFS.contentStorage.recordsRead,1788582612887000000,1788582672812000000,0
VFS.rootsCount,1788582612887000000,1788582672812000000,253.0
VFS.fileChildByName,1788582612887000000,1788582672812000000,735
VFS.cache.segmentsCreated,1788582612887000000,1788582672812000000,0
VFS.fileByIdCache.hits,1788582612887000000,1788582672812000000,0
VFS.invertedFileNameIndex.requests,1788582612887000000,1788582672812000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788582612887000000,1788582672812000000,0
VFS.contentStorage.recordsReadDecompressed,1788582612887000000,1788582672812000000,0
VFS.cache.segments,1788582612887000000,1788582672812000000,192
VFS.ContentWriter.totalTasksExecutedAsync,1788582612887000000,1788582672812000000,0
FileNameCache.totalMisses,1788582612887000000,1788582672812000000,0
VFS.ContentWriter.totalFlushes,1788582612887000000,1788582672812000000,0
VFS.folderCaseSensitivityReads,1788582612887000000,1788582672812000000,0
VFS.contentStorage.recordsUncompressedSize,1788582612887000000,1788582672812000000,0
